"Purchase ID","First Name","Last Name","Customer Email","Intro Offer Name","Purchase date","Converted to","Conversion date","Days to convert"
"60000000","Charlotte","Anderson","charlotte.anderson@example.com","New Flyer 6 Class Pack","2025-09-09T07:37:00.000Z","4-Class Monthly Membership","2025-09-19T07:37:00.000Z","10"
"60000001","Emma","Lopez","emma.lopez@example.com","Unlimited 14 Day Intro Package","2025-09-04T12:15:00.000Z","8-Class Monthly Membership- $189","2025-09-05T12:15:00.000Z","1"
"60000002","Charles","Martin","charles.martin@example.com","New Flyer 6 Class Pack","2025-08-13T18:46:00.000Z","12-Class Monthly Membership-$269","2025-08-23T18:46:00.000Z","10"
"60000003","Daniel","Smith","daniel.smith@example.com","New Flyer 6 Class Pack","2025-07-23T04:45:00.000Z","4-Class Monthly Membership","2025-08-04T04:45:00.000Z","12"
"60000004","Olivia","Williams","olivia.williams@example.com","New Flyer 3 Class Pack","2025-07-08T07:12:00.000Z","Unlimited Monthly Membership","2025-07-19T07:12:00.000Z","11"
"60000005","Charles","Smith","charles.smith@example.com","Unlimited 14 Day Intro Package","2025-08-25T18:40:00.000Z","5 Class Package","2025-09-02T18:40:00.000Z","8"
"60000007","James","Lopez","james.lopez@example.com","New Flyer 3 Class Pack","2025-08-21T18:10:00.000Z","4-Class Monthly Membership","2025-09-09T18:10:00.000Z","19"
"60000008","Evelyn","Taylor","evelyn.taylor@example.com","Unlimited 14 Day Intro Package","2025-07-08T02:14:00.000Z","4-Class Monthly Membership","2025-08-03T02:14:00.000Z","26"
"60000009","Charlotte","Rodriguez","charlotte.rodriguez@example.com","New Flyer 3 Class Pack","2025-08-09T06:33:00.000Z","Unlimited Monthly Membership","2025-08-23T06:33:00.000Z","14"
"60000010","William","Moore","william.moore@example.com","New Flyer 6 Class Pack","2025-08-24T15:16:00.000Z","Unlimited Monthly Membership","2025-09-23T15:16:00.000Z","30"
"60000011","John","Garcia","john.garcia@example.com","New Flyer 3 Class Pack","2025-08-26T22:36:00.000Z","5 Class Package","2025-09-03T22:36:00.000Z","8"
"60000012","Michael","Jones","michael.jones@example.com","Unlimited 14 Day Intro Package","2025-09-21T13:54:00.000Z","4-Class Monthly Membership","2025-10-05T13:54:00.000Z","14"
"60000013","William","Jones","william.jones@example.com","New Flyer 6 Class Pack","2025-07-22T07:31:00.000Z","12-Class Monthly Membership-$269","2025-08-07T07:31:00.000Z","16"
"60000014","Amelia","Williams","amelia.williams@example.com","New Flyer 6 Class Pack","2025-09-09T06:28:00.000Z","4-Class Monthly Membership","2025-09-12T06:28:00.000Z","3"
"60000015","Charles","Anderson","charles.anderson@example.com","New Flyer 6 Class Pack","2025-07-08T15:34:00.000Z","12-Class Monthly Membership-$269","2025-08-07T15:34:00.000Z","30"
"60000016","Olivia","Davis","olivia.davis@example.com","New Flyer 6 Class Pack","2025-07-19T13:33:00.000Z","10 Class Package","2025-07-22T13:33:00.000Z","3"
"60000017","Olivia","Martinez","olivia.martinez@example.com","New Flyer 6 Class Pack","2025-09-25T19:47:00.000Z","12-Class Monthly Membership-$269","2025-10-18T19:47:00.000Z","23"
"60000018","Charlotte","Johnson","charlotte.johnson@example.com","Unlimited 14 Day Intro Package","2025-09-09T13:57:00.000Z","Unlimited Monthly Membership","2025-10-08T13:57:00.000Z","29"
"60000020","Thomas","Williams","thomas.williams@example.com","New Flyer 6 Class Pack","2025-08-24T11:36:00.000Z","4-Class Monthly Membership","2025-09-23T11:36:00.000Z","30"
"60000021","Isabella","Garcia","isabella.garcia@example.com","New Flyer 6 Class Pack","2025-07-16T19:13:00.000Z","4-Class Monthly Membership","2025-07-30T19:13:00.000Z","14"
"60000022","Isabella","Martin","isabella.martin@example.com","Unlimited 14 Day Intro Package","2025-08-01T01:35:00.000Z","12-Class Monthly Membership-$269","2025-08-23T01:35:00.000Z","22"
"60000023","Michael","Wilson","michael.wilson@example.com","New Flyer 3 Class Pack","2025-08-17T00:18:00.000Z","Unlimited Monthly Membership","2025-09-02T00:18:00.000Z","16"
"60000024","James","Thomas","james.thomas@example.com","New Flyer 3 Class Pack","2025-08-15T08:09:00.000Z","4-Class Monthly Membership","2025-09-03T08:09:00.000Z","19"
"60000025","Michael","Martinez","michael.martinez@example.com","Unlimited 14 Day Intro Package","2025-09-14T19:56:00.000Z","8-Class Monthly Membership- $189","2025-10-09T19:56:00.000Z","25"
"60000026","William","Martin","william.martin@example.com","New Flyer 6 Class Pack","2025-08-01T18:23:00.000Z","10 Class Package","2025-08-12T18:23:00.000Z","11"
"60000027","William","Martin","william.martin@example.com","New Flyer 6 Class Pack","2025-07-11T20:51:00.000Z","12-Class Monthly Membership-$269","2025-08-05T20:51:00.000Z","25"
"60000028","Joseph","Martinez","joseph.martinez@example.com","New Flyer 6 Class Pack","2025-09-08T08:28:00.000Z","8-Class Monthly Membership- $189","2025-09-21T08:28:00.000Z","13"
"60000029","Olivia","Anderson","olivia.anderson@example.com","New Flyer 3 Class Pack","2025-07-08T15:47:00.000Z","4-Class Monthly Membership","2025-07-14T15:47:00.000Z","6"
"60000030","Joseph","Gonzalez","joseph.gonzalez@example.com","New Flyer 6 Class Pack","2025-07-23T02:48:00.000Z","Unlimited Monthly Membership","2025-08-03T02:48:00.000Z","11"
