"Purchase ID","First Name","Last Name","Customer Email","Intro Offer ID","Intro Offer Name","Purchase date","Paid Amount","Intro Offer Type","Remaining/ Expiry","Payment Token","Expired","Refunded","Sold by"
"60000000","Thomas","Thomas","thomas.thomas@example.com","300000","Unlimited 14 Day Intro Package","2025-09-13T03:09:00.000Z","49.00","pack","2025-10-13T03:09:00.000Z","pi_n45hbizagzm","No","0.00",""
"60000001","David","Jones","david.jones@example.com","300001","Unlimited 14 Day Intro Package","2025-09-09T01:53:00.000Z","49.00","pack","2025-10-09T01:53:00.000Z","pi_um264unvtpg","No","0.00",""
"60000002","Thomas","Hernandez","thomas.hernandez@example.com","300002","New Flyer 6 Class Pack","2025-09-01T01:49:00.000Z","69.00","pack","2025-10-01T01:49:00.000Z","pi_qjn3cf9dkr","No","0.00",""
"60000003","John","Johnson","john.johnson@example.com","300003","New Flyer 6 Class Pack","2025-09-17T03:13:00.000Z","69.00","pack","2025-10-17T03:13:00.000Z","pi_gd5j2s9u4nr","No","0.00",""
"60000004","James","Taylor","james.taylor@example.com","300004","New Flyer 6 Class Pack","2025-09-14T19:08:00.000Z","69.00","pack","2025-10-14T19:08:00.000Z","pi_evvcfkun5ja","No","0.00",""
"60000005","Amelia","Hernandez","amelia.hernandez@example.com","300005","Unlimited 14 Day Intro Package","2025-09-03T06:36:00.000Z","49.00","pack","2025-10-03T06:36:00.000Z","pi_l7zymdl6a9","No","0.00",""
"60000006","Amelia","Rodriguez","amelia.rodriguez@example.com","300006","New Flyer 3 Class Pack","2025-09-24T05:29:00.000Z","59.00","pack","2025-10-24T05:29:00.000Z","pi_e6jxr18wqvh","No","0.00",""
"60000007","Isabella","Johnson","isabella.johnson@example.com","300007","New Flyer 3 Class Pack","2025-09-25T17:28:00.000Z","59.00","pack","2025-10-25T17:28:00.000Z","pi_19cs0uazin6","No","0.00",""
"60000008","Emma","Hernandez","emma.hernandez@example.com","300008","New Flyer 6 Class Pack","2025-09-06T02:50:00.000Z","69.00","pack","2025-10-06T02:50:00.000Z","pi_wcurxamxqye","No","0.00",""
"60000009","Joseph","Garcia","joseph.garcia@example.com","300009","New Flyer 3 Class Pack","2025-09-16T21:42:00.000Z","59.00","pack","2025-10-16T21:42:00.000Z","pi_6liggjntqns","No","0.00",""
