"Category","Item","Date","Sale value","Tax","Refunded","Payment method","Payment status","Sale reference","Sold by","Paying Customer email","Paying Customer name","Customer email","Customer name","Location","Note"
"Appointment","30 Min Private Lesson","2025-09-05, 10:52 AM","50.00","0.00","0.00","Card","Succeeded","200000000","","emma.anderson@example.com","Emma Anderson","emma.anderson@example.com","Emma Anderson","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-17, 4:08 AM","50.00","0.00","0.00","Card","Succeeded","200000001","","olivia.anderson@example.com","Olivia Anderson","olivia.anderson@example.com","Olivia Anderson","Main Studio",""
"Product","Grip Aid","2025-09-12, 4:56 AM","15.00","0.00","0.00","Card","Succeeded","200000002","","ava.taylor@example.com","Ava Taylor","ava.taylor@example.com","Ava Taylor","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-03, 4:20 PM","99.00","0.00","0.00","Card","Succeeded","200000003","","john.gonzalez@example.com","John Gonzalez","john.gonzalez@example.com","John Gonzalez","Main Studio",""
"Pack","5 Class Package","2025-09-18, 10:15 AM","150.00","0.00","0.00","Card","Succeeded","200000004","","william.martin@example.com","William Martin","william.martin@example.com","William Martin","Main Studio",""
"Class","Pole Level 2","2025-09-26, 6:15 AM","35.00","0.00","0.00","Card","Succeeded","200000005","","john.lopez@example.com","John Lopez","john.lopez@example.com","John Lopez","Main Studio",""
"Class","Pole Level 2","2025-09-11, 4:00 AM","35.00","0.00","0.00","Card","Succeeded","200000006","","emma.rodriguez@example.com","Emma Rodriguez","emma.rodriguez@example.com","Emma Rodriguez","Main Studio",""
"Product","Studio Merchandise","2025-09-28, 8:40 PM","25.00","0.00","0.00","Card","Succeeded","200000007","","robert.brown@example.com","Robert Brown","robert.brown@example.com","Robert Brown","Main Studio",""
"Pack","New Flyer 3 Class Pack","2025-09-10, 11:23 PM","59.00","0.00","0.00","Card","Succeeded","200000008","","olivia.wilson@example.com","Olivia Wilson","olivia.wilson@example.com","Olivia Wilson","Main Studio",""
"Pack","10 Class Package","2025-09-10, 4:32 AM","280.00","0.00","0.00","Card","Succeeded","200000009","","sophia.davis@example.com","Sophia Davis","sophia.davis@example.com","Sophia Davis","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-26, 4:30 PM","69.00","0.00","0.00","Card","Succeeded","200000010","","michael.lopez@example.com","Michael Lopez","michael.lopez@example.com","Michael Lopez","Main Studio",""
"Product","Grip Aid","2025-09-17, 12:13 AM","15.00","0.00","0.00","Card","Succeeded","200000011","","michael.gonzalez@example.com","Michael Gonzalez","michael.gonzalez@example.com","Michael Gonzalez","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-09, 6:57 PM","95.00","0.00","0.00","Card","Succeeded","200000012","","thomas.thomas@example.com","Thomas Thomas","thomas.thomas@example.com","Thomas Thomas","Main Studio",""
"Class","Pole Level 1","2025-09-27, 10:32 AM","35.00","0.00","0.00","Card","Succeeded","200000013","","harper.martin@example.com","Harper Martin","harper.martin@example.com","Harper Martin","Main Studio",""
"Product","Dry Hands 2oz","2025-09-28, 4:16 AM","11.40","0.00","0.00","Card","Succeeded","200000014","","isabella.moore@example.com","Isabella Moore","isabella.moore@example.com","Isabella Moore","Main Studio",""
"Product","Grip Aid","2025-09-19, 12:07 PM","15.00","0.00","0.00","Card","Succeeded","200000015","","harper.miller@example.com","Harper Miller","harper.miller@example.com","Harper Miller","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-25, 7:06 AM","95.00","0.00","0.00","Card","Succeeded","200000016","","william.miller@example.com","William Miller","william.miller@example.com","William Miller","Main Studio",""
"Product","Dry Hands 2oz","2025-09-06, 2:48 AM","11.40","0.00","0.00","Card","Succeeded","200000017","","mia.martin@example.com","Mia Martin","mia.martin@example.com","Mia Martin","Main Studio",""
"Class","Pole Level 1","2025-09-12, 9:57 PM","35.00","0.00","0.00","Card","Succeeded","200000018","","amelia.jones@example.com","Amelia Jones","amelia.jones@example.com","Amelia Jones","Main Studio",""
"Pack","New Flyer 3 Class Pack","2025-09-22, 9:28 PM","59.00","0.00","0.00","Card","Succeeded","200000019","","emma.brown@example.com","Emma Brown","emma.brown@example.com","Emma Brown","Main Studio",""
"Product","Studio Merchandise","2025-09-01, 11:40 AM","25.00","0.00","0.00","Card","Succeeded","200000020","","charlotte.wilson@example.com","Charlotte Wilson","charlotte.wilson@example.com","Charlotte Wilson","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-28, 2:39 PM","69.00","0.00","0.00","Card","Succeeded","200000021","","james.gonzalez@example.com","James Gonzalez","james.gonzalez@example.com","James Gonzalez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-19, 3:52 AM","189.00","0.00","0.00","Card","Succeeded","200000022","","james.jackson@example.com","James Jackson","james.jackson@example.com","James Jackson","Main Studio",""
"Pack","New Flyer 3 Class Pack","2025-09-14, 8:30 PM","59.00","0.00","0.00","Card","Succeeded","200000023","","charles.smith@example.com","Charles Smith","charles.smith@example.com","Charles Smith","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-17, 1:16 AM","95.00","0.00","0.00","Card","Succeeded","200000024","","michael.jones@example.com","Michael Jones","michael.jones@example.com","Michael Jones","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-16, 3:16 PM","95.00","0.00","0.00","Card","Succeeded","200000025","","william.johnson@example.com","William Johnson","william.johnson@example.com","William Johnson","Main Studio",""
"Subscription","12-Class Monthly Membership-$269","2025-09-04, 4:25 AM","269.00","0.00","0.00","Card","Succeeded","200000026","","charlotte.miller@example.com","Charlotte Miller","charlotte.miller@example.com","Charlotte Miller","Main Studio",""
"Product","Dry Hands 2oz","2025-09-07, 8:31 AM","11.40","0.00","0.00","Card","Succeeded","200000027","","daniel.moore@example.com","Daniel Moore","daniel.moore@example.com","Daniel Moore","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-19, 11:53 AM","50.00","0.00","0.00","Card","Succeeded","200000028","","daniel.garcia@example.com","Daniel Garcia","daniel.garcia@example.com","Daniel Garcia","Main Studio",""
"Subscription","Unlimited Monthly Membership","2025-09-02, 11:48 PM","315.00","0.00","0.00","Card","Succeeded","200000029","","daniel.brown@example.com","Daniel Brown","daniel.brown@example.com","Daniel Brown","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-28, 5:26 AM","50.00","0.00","0.00","Card","Succeeded","200000030","","ava.garcia@example.com","Ava Garcia","ava.garcia@example.com","Ava Garcia","Main Studio",""
"Pack","5 Class Package","2025-09-07, 8:16 AM","150.00","0.00","0.00","Card","Succeeded","200000031","","robert.miller@example.com","Robert Miller","robert.miller@example.com","Robert Miller","Main Studio",""
