"Customer ID","First Name","Last Name","Email","Phone","Join date","First purchase","Total Spent","Location","Tags","Notes"
"400000","Isabella","Rodriguez","isabella.rodriguez@example.com","555-9654","2025-07-11T01:57:00.000Z","","0.00","Main Studio","",""
"400001","Amelia","Anderson","amelia.anderson@example.com","555-3881","2025-07-17T00:49:00.000Z","Unlimited 14 Day Intro Package","168.32","Main Studio","",""
"400002","Robert","Rodriguez","robert.rodriguez@example.com","555-7466","2025-07-12T16:02:00.000Z","New Flyer 6 Class Pack","88.16","Main Studio","",""
"400003","Charlotte","Martin","charlotte.martin@example.com","555-3610","2025-07-04T13:34:00.000Z","","0.00","Main Studio","",""
"400004","James","Brown","james.brown@example.com","555-2296","2025-09-27T02:04:00.000Z","","0.00","Main Studio","",""
"400005","Amelia","Jones","amelia.jones@example.com","555-0279","2025-09-28T21:56:00.000Z","","0.00","Main Studio","",""
"400006","David","Jones","david.jones@example.com","555-2687","2025-07-13T19:54:00.000Z","Drop-in Class","176.53","Main Studio","",""
"400007","Thomas","Smith","thomas.smith@example.com","555-6816","2025-09-18T14:59:00.000Z","New Flyer 3 Class Pack","80.25","Main Studio","",""
"400008","Isabella","Miller","isabella.miller@example.com","555-5293","2025-07-21T19:05:00.000Z","","0.00","Main Studio","",""
"400009","Robert","Lopez","robert.lopez@example.com","555-8540","2025-08-22T09:42:00.000Z","New Flyer 3 Class Pack","75.07","Main Studio","",""
"400010","Mia","Williams","mia.williams@example.com","555-2604","2025-09-12T23:54:00.000Z","Drop-in Class","205.42","Main Studio","",""
"400011","Thomas","Taylor","thomas.taylor@example.com","555-0213","2025-07-20T21:33:00.000Z","4-Class Monthly Membership","138.77","Main Studio","",""
"400012","Amelia","Thomas","amelia.thomas@example.com","555-6240","2025-09-06T14:22:00.000Z","Drop-in Class","177.41","Main Studio","",""
"400013","Joseph","Jackson","joseph.jackson@example.com","555-2602","2025-09-02T09:39:00.000Z","Unlimited 14 Day Intro Package","213.81","Main Studio","",""
"400014","William","Smith","william.smith@example.com","555-8120","2025-09-21T01:18:00.000Z","4-Class Monthly Membership","149.05","Main Studio","",""
"400015","Amelia","Jones","amelia.jones@example.com","555-3802","2025-09-03T05:48:00.000Z","Unlimited 14 Day Intro Package","139.26","Main Studio","",""
"400016","Ava","Thomas","ava.thomas@example.com","555-1102","2025-08-28T10:18:00.000Z","New Flyer 3 Class Pack","152.16","Main Studio","",""
"400017","Isabella","Jackson","isabella.jackson@example.com","555-2267","2025-08-20T04:49:00.000Z","New Flyer 3 Class Pack","91.36","Main Studio","",""
"400018","David","Moore","david.moore@example.com","555-6925","2025-09-25T07:38:00.000Z","New Flyer 3 Class Pack","220.77","Main Studio","",""
"400019","William","Smith","william.smith@example.com","555-4571","2025-07-02T07:22:00.000Z","New Flyer 3 Class Pack","150.14","Main Studio","",""
"400020","Olivia","Moore","olivia.moore@example.com","555-5089","2025-09-06T13:11:00.000Z","4-Class Monthly Membership","229.75","Main Studio","",""
"400021","Thomas","Hernandez","thomas.hernandez@example.com","555-1210","2025-08-05T08:36:00.000Z","New Flyer 6 Class Pack","70.16","Main Studio","",""
"400022","Michael","Hernandez","michael.hernandez@example.com","555-6047","2025-07-13T02:34:00.000Z","New Flyer 6 Class Pack","96.37","Main Studio","",""
"400023","Ava","Martinez","ava.martinez@example.com","555-7659","2025-09-23T18:40:00.000Z","4-Class Monthly Membership","77.84","Main Studio","",""
"400024","Ava","Martinez","ava.martinez@example.com","555-0608","2025-09-11T04:38:00.000Z","Drop-in Class","60.61","Main Studio","",""
"400025","Charlotte","Lopez","charlotte.lopez@example.com","555-2929","2025-08-09T04:44:00.000Z","","0.00","Main Studio","",""
